idciudad,ciudad,estadoid
1,AGUASCALIENTES,1
2,ASIENTOS,1
3,CALVILLO,1
4,COSÍO,1
5,JESÚS MARÍA,1
6,PABELLÓN DE ARTEAGA,1
7,RINCÓN DE ROMOS,1
8,SAN JOSÉ DE GRACIA,1
9,TEPEZALÁ,1
10,EL LLANO,1
11,SAN FRANCISCO DE LOS ROMO,1
12,ENSENADA,2
13,MEXICALI,2
14,TECATE,2
15,TIJUANA,2
16,PLAYAS DE ROSARITO,2
17,COMONDÚ,3
18,MULEGÉ,3
19,LA PAZ,3
20,LOS CABOS,3
21,LORETO,3
22,CALKINÍ,6
23,CAMPECHE,6
24,CARMEN,6
25,CHAMPOTÓN,6
26,HECELCHAKÁN,6
27,HOPELCHÉN,6
28,PALIZADA,6
29,TENABO,6
30,ESCÁRCEGA,6
31,CALAKMUL,6
32,CANDELARIA,6
33,ACACOYAGUA,5
34,ACALA,5
35,ACAPETAHUA,5
36,ALTAMIRANO,5
37,AMATÁN,5
38,AMATENANGO DE LA FRONTERA,5
39,AMATENANGO DEL VALLE,5
40,ANGEL ALBINO CORZO,5
41,ARRIAGA,5
42,BEJUCAL DE OCAMPO,5
43,BELLA VISTA,5
44,BERRIOZÁBAL,5
45,BOCHIL,5
46,EL BOSQUE,5
47,CACAHOATÁN,5
48,CATAZAJÁ,5
49,CINTALAPA,5
50,COAPILLA,5
51,COMITÁN DE DOMÍNGUEZ,5
52,LA CONCORDIA,5
53,COPAINALÁ,5
54,CHALCHIHUITÁN,5
55,CHAMULA,5
56,CHANAL,5
57,CHAPULTENANGO,5
58,CHENALHÓ,5
59,CHIAPA DE CORZO,5
60,CHIAPILLA,5
61,CHICOASÉN,5
62,CHICOMUSELO,5
63,CHILÓN,5
64,ESCUINTLA,5
65,FRANCISCO LEÓN,5
66,FRONTERA COMALAPA,5
67,FRONTERA HIDALGO,5
68,LA GRANDEZA,5
69,HUEHUETÁN,5
70,HUIXTÁN,5
71,HUITIUPÁN,5
72,HUIXTLA,5
73,LA INDEPENDENCIA,5
74,IXHUATÁN,5
75,IXTACOMITÁN,5
76,IXTAPA,5
77,IXTAPANGAJOYA,5
78,JIQUIPILAS,5
79,JITOTOL,5
80,JUÁREZ,5
81,LARRÁINZAR,5
82,LA LIBERTAD,5
83,MAPASTEPEC,5
84,LAS MARGARITAS,5
85,MAZAPA DE MADERO,5
86,MAZATÁN,5
87,METAPA,5
88,MITONTIC,5
89,MOTOZINTLA,5
90,NICOLÁS RUÍZ,5
91,OCOSINGO,5
92,OCOTEPEC,5
93,OCOZOCOAUTLA DE ESPINOSA,5
94,OSTUACÁN,5
95,OSUMACINTA,5
96,OXCHUC,5
97,PALENQUE,5
98,PANTELHÓ,5
99,PANTEPEC,5
100,PICHUCALCO,5
101,PIJIJIAPAN,5
102,EL PORVENIR,5
103,VILLA COMALTITLÁN,5
104,PUEBLO NUEVO SOLISTAHUACÁN,5
105,RAYÓN,5
106,REFORMA,5
107,LAS ROSAS,5
108,SABANILLA,5
109,SALTO DE AGUA,5
110,SAN CRISTÓBAL DE LAS CASAS,5
111,SAN FERNANDO,5
112,SILTEPEC,5
113,SIMOJOVEL,5
114,SITALÁ,5
115,SOCOLTENANGO,5
116,SOLOSUCHIAPA,5
117,SOYALÓ,5
118,SUCHIAPA,5
119,SUCHIATE,5
120,SUNUAPA,5
121,TAPACHULA,5
122,TAPALAPA,5
123,TAPILULA,5
124,TECPATÁN,5
125,TENEJAPA,5
126,TEOPISCA,5
127,TILA,5
128,TONALÁ,5
129,TOTOLAPA,5
130,LA TRINITARIA,5
131,TUMBALÁ,5
132,TUXTLA GUTIÉRREZ,5
133,TUXTLA CHICO,5
134,TUZANTÁN,5
135,TZIMOL,5
136,UNIÓN JUÁREZ,5
137,VENUSTIANO CARRANZA,5
138,VILLA CORZO,5
139,VILLAFLORES,5
140,YAJALÓN,5
141,SAN LUCAS,5
142,ZINACANTÁN,5
143,SAN JUAN CANCUC,5
144,ALDAMA,5
145,BENEMÉRITO DE LAS AMÉRICAS,5
146,MARAVILLA TENEJAPA,5
147,MARQUÉS DE COMILLAS,5
148,MONTECRISTO DE GUERRERO,5
149,SAN ANDRÉS DURAZNAL,5
150,SANTIAGO EL PINAR,5
151,AHUMADA,4
152,ALDAMA,4
153,ALLENDE,4
154,AQUILES SERDÁN,4
155,ASCENSIÓN,4
156,BACHÍNIVA,4
157,BALLEZA,4
158,BATOPILAS,4
159,BOCOYNA,4
160,BUENAVENTURA,4
161,CAMARGO,4
